vectorizer,model,mean_f1,std_f1,mean_acc,mean_precision,mean_recall,mean_roc_auc,fit_time_s,vec_type,fold_1_f1,fold_1_acc,fold_2_f1,fold_2_acc,fold_3_f1,fold_3_acc,fold_4_f1,fold_4_acc,fold_5_f1,fold_5_acc,rank
tfidf_bigram,MLP,0.7378160798135591,0.008897801018130062,0.7956806573395514,0.8154173445381865,0.6754215571205008,0.8477785519576356,157.3,sparse,0.7391304347826086,0.8001332445036642,0.7493837304847987,0.7968021319120586,0.7335092348284961,0.7981345769487008,0.7436527436527437,0.7913333333333333,0.723404255319149,0.792,15
count_bigram,XGBoost,0.7376524388033341,0.011982479995441568,0.7860832333999557,0.7728089456912987,0.7060568270735524,0.8502639530157458,24.21,sparse,0.7571884984025559,0.7974683544303798,0.7397489539748954,0.7928047968021319,0.7403225806451613,0.7854763491005996,0.7293354943273906,0.7773333333333333,0.7216666666666667,0.7773333333333333,16
count_bow,XGBoost,0.7373452524773714,0.013806946748157748,0.7848831445702865,0.7686398793350039,0.7088678599374022,0.8489415086953519,12.6,sparse,0.750597609561753,0.7914723517654897,0.7477253928866832,0.7968021319120586,0.7447833065810594,0.7881412391738841,0.7299270072992701,0.778,0.7136929460580913,0.77,17
tfidf_unigram,LinearSVM,0.737111592669347,0.010699391346037595,0.7787534532533866,0.7467998055985664,0.7279508998435055,0.8419050055754582,0.2,sparse,0.7423649177760376,0.7808127914723517,0.7441485068603713,0.7888074616922052,0.7399842890809112,0.7794803464357095,0.7431693989071039,0.7806666666666666,0.7158908507223114,0.764,18
tfidf_trigram,LinearSVM,0.7360639944707866,0.006075593152634626,0.7791544303797469,0.7504999970510753,0.7226369327073552,0.8442708861570509,0.39,sparse,0.7323943661971831,0.7721518987341772,0.7383863080684596,0.7861425716189208,0.7434885556432518,0.7834776815456362,0.7398119122257053,0.7786666666666666,0.7262388302193339,0.7753333333333333,19
tfidf_trigram,NaiveBayes,0.7356801692602883,0.01060186831244566,0.7979470575172107,0.8316154376479773,0.659781396713615,0.8479522369083516,0.11,sparse,0.7333333333333333,0.7921385742838108,0.7513134851138353,0.8107928047968022,0.731537793223284,0.7941372418387741,0.74235807860262,0.8033333333333333,0.7198581560283688,0.7893333333333333,20
tfidf_unigram,MLP,0.7325885644176322,0.016016043052211628,0.7963462580501888,0.8313696085108816,0.6560123239436619,0.8466680503072637,78.35,sparse,0.7338003502626971,0.7974683544303798,0.7531592249368155,0.8047968021319121,0.7463952502120441,0.8007994670219853,0.7106690777576854,0.7866666666666666,0.7189189189189189,0.792,21
tfidf_trigram,MLP,0.7311921668331094,0.007551958197522512,0.7926135465245393,0.8187960148512546,0.6613541666666667,0.8361235502445569,303.32,sparse,0.7334494773519163,0.7961359093937375,0.7419354838709677,0.8081279147235176,0.7347639484978541,0.7941372418387741,0.7202072538860104,0.784,0.725604670558799,0.7806666666666666,22
count_trigram,MLP,0.7309398167449432,0.009643260122368378,0.7912798578725295,0.8135854446228091,0.664480633802817,0.837679451255864,320.0,sparse,0.7383820998278829,0.7974683544303798,0.7419354838709677,0.8081279147235176,0.73557278208441,0.7954696868754164,0.7201365187713311,0.7813333333333333,0.7186721991701245,0.774,23
count_trigram,NaiveBayes,0.730222704515598,0.0056366922171699465,0.7930153231179213,0.8217369036683826,0.657281396713615,0.8273613513738256,0.2,sparse,0.7289879931389366,0.7894736842105263,0.736098852603707,0.8007994670219853,0.7358490566037735,0.7948034643570953,0.7294727744165946,0.7913333333333333,0.720704845814978,0.7886666666666666,24
